training size,epoch number,learning rate,batch size,training time
0.8,5.0,0.001,16.0,170.07359306514263
0.8,10.0,0.001,16.0,339.51895883725956
0.8,15.0,0.001,16.0,508.95636075921357
0.8,1.0,0.001,32.0,15.968580150976777
0.8,5.0,0.001,32.0,121.77346367109567
0.8,10.0,0.001,32.0,241.43162061972544
0.8,15.0,0.001,32.0,360.7560358531773
0.8,1.0,0.001,64.0,11.876245811581612
0.8,5.0,0.001,64.0,101.82795604784042
0.8,10.0,0.001,64.0,201.21252295468003
0.8,15.0,0.001,64.0,301.25753392791376
0.8,1.0,0.001,80.0,12.003690640907735
0.8,5.0,0.001,80.0,100.16217056009918
0.8,10.0,0.001,80.0,198.24238842492923
0.8,15.0,0.001,80.0,297.03160395892337
0.8,1.0,0.01,16.0,24.887807654216886
0.8,5.0,0.01,16.0,169.6378712770529
0.8,10.0,0.01,16.0,337.5846242951229
0.8,15.0,0.01,16.0,505.8654384808615
0.8,5.0,0.01,32.0,121.14763577003032
0.8,10.0,0.01,32.0,241.5752712697722
0.8,15.0,0.01,32.0,361.1455521979369
0.8,1.0,0.01,64.0,11.914051472209394
0.8,5.0,0.01,64.0,101.46688302606344
0.8,10.0,0.01,64.0,200.97825180692598
0.8,15.0,0.01,64.0,300.80426153726876
0.8,5.0,0.01,80.0,100.23124730400741
0.8,10.0,0.01,80.0,198.45301532465965
0.8,15.0,0.01,80.0,297.20331417769194
